orderid,orderdate,region,salesperson,category,product,units,unitprice,revenue,customertype,month,revenue_category
ORD00042,2024-11-04,South,Meena,Grocery,Sugar,16,1775.75,28412.0,Wholesale,11,Low Revenue
ORD00043,2025-05-30,North,Divya,Furniture,Table,8,1883.58,15068.64,Wholesale,5,Low Revenue
ORD00044,2024-02-09,East,Rahul,Electronics,Laptop,33,350.26,11558.58,Retail,2,Low Revenue
ORD00045,2025-03-14,South,Priya,Clothing,Shirt,18,1504.89,27088.02,Wholesale,3,Low Revenue
ORD00046,2025-08-25,West,Sneha,Furniture,Table,26,611.98,15911.48,Retail,8,Low Revenue
ORD00047,2025-05-12,North,Priya,Clothing,Shoes,8,423.22,3385.76,Retail,5,Low Revenue
ORD00048,2025-02-08,East,Divya,Electronics,Laptop,23,1640.33,37727.59,Retail,2,Medium Revenue
ORD00049,2025-11-13,North,Amit,Electronics,Phone,35,832.19,29126.65,Wholesale,11,Low Revenue
ORD00050,2025-05-02,North,Sneha,Clothing,Shoes,49,510.12,24995.88,Wholesale,5,Low Revenue
ORD00051,2024-03-16,South,Meena,Furniture,Chair,23,547.39,12589.97,Wholesale,3,Low Revenue
ORD00052,2025-02-28,West,Meena,Furniture,Cabinet,14,411.77,5764.78,Wholesale,2,Low Revenue
ORD00053,2024-09-22,South,Rahul,Grocery,Sugar,27,200.87,5423.49,Retail,9,Low Revenue
ORD00054,2024-06-27,South,Rahul,Grocery,Milk,25,316.63,7915.75,Retail,6,Low Revenue
ORD00055,2024-12-31,East,Divya,Electronics,Phone,8,1158.76,9270.08,Retail,12,Low Revenue
ORD00056,2024-12-03,North,Meena,Clothing,Jacket,21,763.66,16036.86,Retail,12,Low Revenue
ORD00057,2025-06-19,East,Meena,Grocery,Oil,49,1981.31,97084.19,Wholesale,6,High Revenue
ORD00058,2025-06-27,East,Amit,Grocery,Milk,26,581.32,15114.32,Wholesale,6,Low Revenue
ORD00059,2024-03-02,East,Sneha,Clothing,Shoes,29,638.77,18524.33,Wholesale,3,Low Revenue
ORD00060,2025-12-14,South,Meena,Grocery,Oil,9,567.02,5103.18,Retail,12,Low Revenue
ORD00061,2024-06-08,West,Sneha,Grocery,Rice,22,677.75,14910.5,Retail,6,Low Revenue
ORD00062,2025-06-25,South,Amit,Furniture,Table,40,1986.43,79457.2,Retail,6,High Revenue
ORD00063,2024-09-12,West,Amit,Electronics,Phone,25,965.4,24135.0,Retail,9,Low Revenue
ORD00064,2024-09-14,South,Meena,Furniture,Table,10,995.28,9952.8,Retail,9,Low Revenue
ORD00065,2025-04-02,South,Arjun,Furniture,Cabinet,38,211.33,8030.54,Retail,4,Low Revenue
ORD00066,2025-06-01,South,Rahul,Grocery,Milk,23,1526.01,35098.23,Retail,6,Medium Revenue
ORD00067,2024-04-24,South,Amit,Furniture,Desk,9,1766.4,15897.6,Wholesale,4,Low Revenue
ORD00068,2024-08-07,East,Divya,Grocery,Sugar,26,1720.32,44728.32,Retail,8,Medium Revenue
ORD00069,2024-02-27,West,Amit,Clothing,Shoes,43,1406.7,60488.1,Wholesale,2,High Revenue
ORD00070,2024-10-18,East,Priya,Clothing,Shoes,45,574.94,25872.3,Retail,10,Low Revenue
ORD00071,2025-02-19,East,Arjun,Clothing,Jeans,39,898.97,35059.83,Retail,2,Medium Revenue
ORD00072,2025-06-11,East,Arjun,Clothing,Shirt,2,1845.98,3691.96,Wholesale,6,Low Revenue
ORD00073,2025-12-01,South,Karthik,Grocery,Oil,11,841.35,9254.85,Wholesale,12,Low Revenue
ORD00074,2025-05-16,East,Divya,Grocery,Oil,32,1170.84,37466.88,Retail,5,Medium Revenue
ORD00075,2025-07-22,South,Amit,Electronics,Laptop,35,724.89,25371.15,Retail,7,Low Revenue
ORD00076,2024-12-20,East,Meena,Electronics,Monitor,43,1057.25,45461.75,Wholesale,12,Medium Revenue
ORD00077,2024-01-30,South,Karthik,Furniture,Cabinet,32,1365.16,43685.12,Wholesale,1,Medium Revenue
ORD00078,2025-01-06,North,Rahul,Furniture,Desk,1,1329.3,1329.3,Retail,1,Low Revenue
ORD00079,2024-03-10,South,Amit,Furniture,Chair,9,109.39,984.51,Retail,3,Low Revenue
ORD00080,2025-10-28,South,Karthik,Electronics,Monitor,6,1868.14,11208.84,Wholesale,10,Low Revenue
ORD00081,2025-03-13,West,Arjun,Clothing,Shirt,34,926.24,31492.16,Wholesale,3,Medium Revenue
ORD00082,2025-06-19,West,Sneha,Electronics,Tablet,24,1679.47,40307.28,Retail,6,Medium Revenue
ORD00083,2024-11-06,South,Sneha,Furniture,Chair,33,540.54,17837.82,Retail,11,Low Revenue
ORD00084,2025-08-22,East,Arjun,Clothing,Shoes,32,1005.45,32174.4,Retail,8,Medium Revenue
ORD00085,2024-09-18,East,Karthik,Furniture,Table,8,1838.74,14709.92,Retail,9,Low Revenue
ORD00086,2025-07-19,East,Meena,Clothing,Jacket,36,1452.14,52277.04,Retail,7,High Revenue
ORD00087,2025-06-25,North,Arjun,Electronics,Tablet,10,1096.49,10964.9,Retail,6,Low Revenue
ORD00088,2025-05-24,East,Rahul,Furniture,Chair,17,77.66,1320.22,Wholesale,5,Low Revenue
ORD00089,2024-10-03,West,Karthik,Electronics,Tablet,42,1273.79,53499.18,Retail,10,High Revenue
ORD00090,2024-10-29,West,Arjun,Grocery,Oil,5,1676.52,8382.6,Retail,10,Low Revenue
ORD00091,2025-12-22,East,Amit,Grocery,Sugar,42,628.19,26383.98,Wholesale,12,Low Revenue
ORD00092,2025-11-13,East,Meena,Furniture,Cabinet,10,1414.83,14148.3,Wholesale,11,Low Revenue
ORD00093,2024-03-01,East,Amit,Furniture,Cabinet,19,1377.35,26169.65,Wholesale,3,Low Revenue
ORD00094,2025-04-10,South,Arjun,Electronics,Tablet,26,305.02,7930.52,Wholesale,4,Low Revenue
ORD00095,2024-05-11,West,Divya,Grocery,Rice,43,1929.83,82982.69,Wholesale,5,High Revenue
ORD00096,2025-11-26,South,Arjun,Furniture,Chair,4,1211.02,4844.08,Retail,11,Low Revenue
ORD00097,2024-01-10,West,Meena,Electronics,Laptop,16,916.37,14661.92,Retail,1,Low Revenue
ORD00098,2025-08-19,South,Priya,Furniture,Chair,19,1247.66,23705.54,Wholesale,8,Low Revenue
ORD00099,2024-03-28,East,Divya,Clothing,Jeans,13,1698.38,22078.94,Wholesale,3,Low Revenue
ORD00100,2024-06-27,East,Meena,Furniture,Cabinet,18,1026.0,18468.0,Retail,6,Low Revenue
ORD00101,2024-01-11,West,Amit,Furniture,Cabinet,33,971.0,32043.0,Wholesale,1,Medium Revenue
ORD00102,2024-10-05,East,Meena,Clothing,Jacket,23,59.13,1359.99,Retail,10,Low Revenue
ORD00103,2024-06-29,West,Meena,Grocery,Oil,19,36.93,701.67,Wholesale,6,Low Revenue
ORD00104,2025-09-26,West,Karthik,Grocery,Rice,47,1618.35,76062.45,Wholesale,9,High Revenue
ORD00105,2025-07-03,East,Priya,Clothing,Jacket,34,803.67,27324.78,Wholesale,7,Low Revenue
ORD00106,2024-04-08,East,Sneha,Clothing,Shirt,14,1909.68,26735.52,Retail,4,Low Revenue
ORD00107,2025-07-10,West,Amit,Furniture,Chair,36,774.69,27888.84,Retail,7,Low Revenue
ORD00108,2025-09-10,East,Sneha,Furniture,Cabinet,39,814.76,31775.64,Wholesale,9,Medium Revenue
ORD00109,2025-07-26,North,Amit,Clothing,Shirt,19,1186.94,22551.86,Retail,7,Low Revenue
ORD00110,2024-02-21,South,Priya,Clothing,Jacket,31,1343.79,41657.49,Retail,2,Medium Revenue
ORD00111,2025-07-11,West,Sneha,Clothing,Jeans,29,699.42,20283.18,Wholesale,7,Low Revenue
ORD00112,2025-08-16,South,Divya,Grocery,Oil,45,1459.77,65689.65,Retail,8,High Revenue
ORD00113,2024-09-25,East,Rahul,Furniture,Desk,29,650.06,18851.74,Retail,9,Low Revenue
ORD00114,2024-04-13,West,Priya,Electronics,Laptop,20,72.62,1452.4,Wholesale,4,Low Revenue
ORD00115,2024-04-10,West,Sneha,Grocery,Oil,19,1261.54,23969.26,Wholesale,4,Low Revenue
ORD00116,2024-01-29,South,Arjun,Grocery,Oil,10,1890.66,18906.6,Retail,1,Low Revenue
ORD00117,2024-12-06,East,Rahul,Furniture,Desk,15,686.6,10299.0,Wholesale,12,Low Revenue
ORD00118,2024-10-05,South,Amit,Furniture,Desk,43,1392.43,59874.49,Wholesale,10,High Revenue
ORD00119,2024-09-27,North,Karthik,Furniture,Chair,46,1525.59,70177.14,Wholesale,9,High Revenue
ORD00120,2024-07-08,East,Amit,Furniture,Cabinet,22,783.02,17226.44,Retail,7,Low Revenue
ORD00121,2025-02-13,South,Arjun,Grocery,Sugar,45,1918.86,86348.7,Retail,2,High Revenue
ORD00122,2024-06-29,East,Rahul,Furniture,Chair,48,1276.01,61248.48,Retail,6,High Revenue
ORD00123,2025-08-13,North,Divya,Clothing,Shirt,28,1471.55,41203.4,Wholesale,8,Medium Revenue
ORD00124,2025-02-06,North,Priya,Clothing,Shirt,25,628.22,15705.5,Retail,2,Low Revenue
ORD00125,2024-07-03,West,Divya,Electronics,Monitor,32,117.34,3754.88,Retail,7,Low Revenue
ORD00126,2025-01-30,East,Sneha,Grocery,Sugar,49,256.78,12582.22,Wholesale,1,Low Revenue
ORD00127,2024-08-27,West,Priya,Furniture,Chair,27,344.99,9314.73,Retail,8,Low Revenue
ORD00128,2025-11-21,East,Rahul,Clothing,Jeans,35,1198.14,41934.9,Retail,11,Medium Revenue
ORD00129,2025-12-20,East,Rahul,Clothing,Jeans,46,1485.31,68324.26,Retail,12,High Revenue
ORD00130,2025-04-07,West,Divya,Electronics,Laptop,49,1062.96,52085.04,Wholesale,4,High Revenue
ORD00131,2025-04-29,East,Meena,Electronics,Tablet,14,722.38,10113.32,Wholesale,4,Low Revenue
ORD00132,2025-08-18,East,Amit,Furniture,Desk,12,529.14,6349.68,Wholesale,8,Low Revenue
ORD00133,2024-08-18,West,Priya,Furniture,Cabinet,40,936.32,37452.8,Retail,8,Medium Revenue
ORD00134,2024-10-23,West,Rahul,Grocery,Rice,1,1510.05,1510.05,Wholesale,10,Low Revenue
ORD00135,2024-04-15,East,Divya,Furniture,Cabinet,26,808.7,21026.2,Wholesale,4,Low Revenue
ORD00136,2024-02-19,East,Meena,Grocery,Milk,38,747.86,28418.68,Retail,2,Low Revenue
ORD00137,2025-09-13,South,Rahul,Furniture,Cabinet,28,1933.94,54150.32,Retail,9,High Revenue
ORD00138,2025-07-25,West,Rahul,Clothing,Jacket,35,1898.62,66451.7,Wholesale,7,High Revenue
ORD00139,2024-07-18,North,Divya,Grocery,Milk,5,1344.46,6722.3,Wholesale,7,Low Revenue
ORD00140,2025-10-10,East,Meena,Furniture,Table,46,1263.6,58125.6,Wholesale,10,High Revenue
ORD00141,2025-02-06,South,Priya,Grocery,Milk,34,1910.31,64950.54,Wholesale,2,High Revenue
ORD00142,2025-09-07,West,Priya,Grocery,Sugar,27,1758.1,47468.7,Wholesale,9,Medium Revenue
ORD00143,2024-05-31,South,Divya,Clothing,Jacket,38,616.85,23440.3,Retail,5,Low Revenue
ORD00144,2024-11-30,East,Rahul,Furniture,Chair,37,175.7,6500.9,Wholesale,11,Low Revenue
ORD00145,2025-07-21,East,Arjun,Electronics,Laptop,15,1583.76,23756.4,Retail,7,Low Revenue
ORD00146,2025-11-28,North,Divya,Grocery,Milk,15,321.57,4823.55,Retail,11,Low Revenue
ORD00147,2024-06-08,East,Amit,Furniture,Cabinet,29,1453.41,42148.89,Retail,6,Medium Revenue
ORD00148,2025-09-15,East,Sneha,Grocery,Oil,1,1107.47,1107.47,Wholesale,9,Low Revenue
ORD00149,2025-11-26,West,Meena,Clothing,Jacket,28,1103.59,30900.52,Retail,11,Medium Revenue
ORD00150,2024-12-14,North,Sneha,Grocery,Sugar,37,1161.21,42964.77,Retail,12,Medium Revenue
ORD00151,2025-02-21,South,Arjun,Clothing,Jacket,42,945.4,39706.8,Wholesale,2,Medium Revenue
ORD00152,2024-07-22,East,Karthik,Electronics,Laptop,35,1612.38,56433.3,Retail,7,High Revenue
ORD00153,2025-11-05,North,Rahul,Electronics,Monitor,14,1575.52,22057.28,Wholesale,11,Low Revenue
ORD00154,2024-08-11,East,Karthik,Furniture,Desk,47,415.4,19523.8,Wholesale,8,Low Revenue
ORD00155,2024-10-13,North,Sneha,Grocery,Oil,48,702.79,33733.92,Wholesale,10,Medium Revenue
ORD00156,2025-05-24,West,Priya,Clothing,Shirt,6,759.5,4557.0,Retail,5,Low Revenue
ORD00157,2024-01-14,East,Meena,Electronics,Monitor,25,1977.02,49425.5,Wholesale,1,Medium Revenue
ORD00158,2025-09-01,South,Karthik,Furniture,Chair,7,781.07,5467.49,Retail,9,Low Revenue
ORD00159,2024-06-10,South,Sneha,Electronics,Laptop,42,1597.35,67088.7,Wholesale,6,High Revenue
ORD00160,2024-08-11,South,Karthik,Grocery,Rice,45,1178.04,53011.8,Retail,8,High Revenue
ORD00161,2024-04-30,North,Arjun,Furniture,Desk,11,1707.82,18786.02,Wholesale,4,Low Revenue
ORD00162,2024-06-16,South,Amit,Clothing,Shoes,37,1387.67,51343.79,Retail,6,High Revenue
ORD00163,2024-01-30,East,Divya,Clothing,Jacket,23,994.43,22871.89,Wholesale,1,Low Revenue
ORD00164,2024-04-01,West,Arjun,Electronics,Laptop,42,160.95,6759.9,Retail,4,Low Revenue
ORD00165,2025-11-21,East,Divya,Clothing,Jacket,18,1645.54,29619.72,Retail,11,Low Revenue
ORD00166,2025-08-06,South,Arjun,Electronics,Monitor,31,183.38,5684.78,Wholesale,8,Low Revenue
ORD00167,2025-01-19,West,Arjun,Electronics,Phone,29,347.75,10084.75,Retail,1,Low Revenue
ORD00168,2025-12-07,South,Priya,Grocery,Milk,44,821.99,36167.56,Wholesale,12,Medium Revenue
ORD00169,2025-05-17,North,Arjun,Electronics,Laptop,17,1839.75,31275.75,Wholesale,5,Medium Revenue
ORD00170,2024-07-17,North,Karthik,Clothing,Jacket,19,1311.01,24909.19,Retail,7,Low Revenue
ORD00171,2025-10-11,South,Arjun,Grocery,Milk,16,1263.38,20214.08,Retail,10,Low Revenue
ORD00172,2025-09-15,East,Sneha,Furniture,Desk,15,719.69,10795.35,Wholesale,9,Low Revenue
ORD00173,2024-12-21,West,Karthik,Furniture,Cabinet,2,712.8,1425.6,Retail,12,Low Revenue
ORD00174,2025-05-02,North,Rahul,Grocery,Milk,49,1089.63,53391.87,Wholesale,5,High Revenue
ORD00175,2024-09-10,South,Priya,Grocery,Oil,39,655.17,25551.63,Wholesale,9,Low Revenue
ORD00176,2025-03-13,North,Meena,Clothing,Jacket,18,1377.01,24786.18,Retail,3,Low Revenue
ORD00177,2024-06-15,East,Karthik,Grocery,Sugar,42,623.26,26176.92,Wholesale,6,Low Revenue
ORD00178,2024-12-08,South,Divya,Furniture,Cabinet,30,900.0,27000.0,Wholesale,12,Low Revenue
ORD00179,2024-02-26,East,Divya,Clothing,Jacket,44,877.7,38618.8,Retail,2,Medium Revenue
ORD00180,2024-07-29,West,Amit,Grocery,Oil,21,140.41,2948.61,Retail,7,Low Revenue
ORD00181,2024-04-25,West,Sneha,Furniture,Desk,22,1827.35,40201.7,Wholesale,4,Medium Revenue
ORD00182,2025-10-07,South,Priya,Grocery,Rice,1,1908.76,1908.76,Wholesale,10,Low Revenue
ORD00183,2024-01-27,West,Sneha,Electronics,Monitor,9,975.77,8781.93,Wholesale,1,Low Revenue
ORD00184,2025-04-25,South,Sneha,Grocery,Rice,9,1652.79,14875.11,Retail,4,Low Revenue
ORD00185,2024-12-13,North,Karthik,Clothing,Shoes,7,1472.24,10305.68,Wholesale,12,Low Revenue
ORD00186,2025-04-02,West,Priya,Clothing,Jacket,43,574.58,24706.94,Retail,4,Low Revenue
ORD00187,2025-04-09,East,Rahul,Clothing,Jacket,32,1069.66,34229.12,Wholesale,4,Medium Revenue
ORD00188,2025-04-20,East,Priya,Furniture,Chair,9,1399.56,12596.04,Retail,4,Low Revenue
ORD00189,2024-12-23,North,Sneha,Grocery,Sugar,40,733.59,29343.6,Wholesale,12,Low Revenue
ORD00190,2025-06-27,South,Amit,Electronics,Tablet,34,1463.9,49772.6,Wholesale,6,Medium Revenue
ORD00191,2024-08-19,South,Meena,Clothing,Jeans,49,225.01,11025.49,Retail,8,Low Revenue
ORD00192,2025-04-02,North,Divya,Furniture,Table,40,1054.45,42178.0,Retail,4,Medium Revenue
ORD00193,2024-05-22,North,Karthik,Grocery,Milk,14,862.72,12078.08,Wholesale,5,Low Revenue
ORD00194,2025-07-29,South,Priya,Clothing,Jeans,12,1140.53,13686.36,Wholesale,7,Low Revenue
ORD00195,2024-09-06,West,Amit,Furniture,Table,21,516.17,10839.57,Wholesale,9,Low Revenue
ORD00196,2025-05-27,East,Rahul,Clothing,Shoes,13,314.7,4091.1,Wholesale,5,Low Revenue
ORD00197,2024-09-08,South,Rahul,Electronics,Monitor,30,412.06,12361.8,Wholesale,9,Low Revenue
ORD00198,2024-12-17,West,Arjun,Grocery,Milk,40,620.25,24810.0,Wholesale,12,Low Revenue
ORD00199,2024-12-07,North,Priya,Electronics,Phone,9,232.5,2092.5,Retail,12,Low Revenue
ORD00200,2025-04-15,South,Divya,Grocery,Sugar,22,768.57,16908.54,Wholesale,4,Low Revenue
ORD00201,2024-03-20,South,Meena,Grocery,Milk,7,546.28,3823.96,Retail,3,Low Revenue
ORD00202,2024-06-16,East,Priya,Electronics,Tablet,10,902.66,9026.6,Wholesale,6,Low Revenue
ORD00203,2025-12-31,West,Karthik,Furniture,Chair,17,1351.05,22967.85,Retail,12,Low Revenue
ORD00204,2024-06-14,North,Amit,Electronics,Tablet,44,1588.51,69894.44,Wholesale,6,High Revenue
ORD00205,2025-03-05,South,Karthik,Furniture,Cabinet,7,1104.3,7730.1,Wholesale,3,Low Revenue
ORD00206,2025-09-11,East,Rahul,Clothing,Shoes,38,628.54,23884.52,Retail,9,Low Revenue
ORD00207,2025-06-14,South,Karthik,Grocery,Oil,19,429.49,8160.31,Retail,6,Low Revenue
ORD00208,2025-11-06,South,Meena,Clothing,Jeans,27,1183.17,31945.59,Wholesale,11,Medium Revenue
ORD00209,2024-05-28,East,Divya,Electronics,Tablet,17,22.18,377.06,Wholesale,5,Low Revenue
ORD00210,2025-01-26,South,Rahul,Furniture,Cabinet,43,337.26,14502.18,Retail,1,Low Revenue
ORD00211,2025-06-30,East,Karthik,Clothing,Shirt,21,1607.51,33757.71,Retail,6,Medium Revenue
ORD00212,2025-10-09,North,Karthik,Furniture,Desk,47,1586.9,74584.3,Wholesale,10,High Revenue
ORD00213,2025-10-14,East,Arjun,Clothing,Shirt,31,1192.74,36974.94,Wholesale,10,Medium Revenue
ORD00214,2024-11-09,North,Meena,Grocery,Rice,13,1155.94,15027.22,Wholesale,11,Low Revenue
ORD00215,2025-10-17,West,Divya,Clothing,Jacket,15,437.29,6559.35,Retail,10,Low Revenue
ORD00216,2025-10-04,East,Arjun,Furniture,Cabinet,35,182.56,6389.6,Wholesale,10,Low Revenue
ORD00217,2025-02-27,South,Karthik,Grocery,Milk,15,511.09,7666.35,Retail,2,Low Revenue
ORD00218,2025-02-08,North,Amit,Furniture,Chair,13,1994.1,25923.3,Retail,2,Low Revenue
ORD00219,2025-01-21,East,Priya,Furniture,Cabinet,50,207.93,10396.5,Wholesale,1,Low Revenue
ORD00220,2025-10-06,West,Amit,Electronics,Monitor,30,554.39,16631.7,Retail,10,Low Revenue
ORD00221,2024-12-28,South,Meena,Electronics,Monitor,22,1081.16,23785.52,Retail,12,Low Revenue
ORD00222,2024-05-14,North,Meena,Clothing,Shirt,7,362.28,2535.96,Retail,5,Low Revenue
ORD00223,2025-07-26,South,Priya,Electronics,Monitor,13,1011.96,13155.48,Wholesale,7,Low Revenue
ORD00224,2025-12-18,West,Divya,Clothing,Shirt,23,1647.23,37886.29,Retail,12,Medium Revenue
ORD00225,2025-07-23,East,Priya,Grocery,Oil,30,1811.07,54332.1,Retail,7,High Revenue
ORD00226,2024-09-11,West,Rahul,Electronics,Tablet,9,470.96,4238.64,Retail,9,Low Revenue
ORD00227,2025-01-04,West,Amit,Grocery,Sugar,21,51.53,1082.13,Retail,1,Low Revenue
ORD00228,2025-01-23,East,Karthik,Clothing,Shirt,47,1252.67,58875.49,Retail,1,High Revenue
ORD00229,2024-12-27,West,Priya,Clothing,Shoes,49,1117.2,54742.8,Retail,12,High Revenue
ORD00230,2025-04-08,South,Priya,Clothing,Jacket,39,665.74,25963.86,Retail,4,Low Revenue
ORD00231,2025-05-22,West,Arjun,Grocery,Oil,26,1671.61,43461.86,Retail,5,Medium Revenue
ORD00232,2025-03-14,South,Priya,Grocery,Sugar,2,982.07,1964.14,Wholesale,3,Low Revenue
ORD00233,2025-02-25,East,Divya,Electronics,Monitor,29,512.15,14852.35,Wholesale,2,Low Revenue
ORD00234,2025-12-12,South,Meena,Electronics,Monitor,11,1130.64,12437.04,Retail,12,Low Revenue
ORD00235,2024-02-26,North,Priya,Electronics,Phone,28,1391.42,38959.76,Wholesale,2,Medium Revenue
ORD00236,2024-05-20,East,Sneha,Clothing,Shoes,6,1614.68,9688.08,Retail,5,Low Revenue
ORD00237,2025-06-09,East,Rahul,Electronics,Phone,45,369.59,16631.55,Retail,6,Low Revenue
ORD00238,2024-02-20,North,Meena,Electronics,Laptop,24,46.89,1125.36,Retail,2,Low Revenue
ORD00239,2025-03-14,West,Priya,Clothing,Jeans,25,107.57,2689.25,Wholesale,3,Low Revenue
ORD00240,2024-11-27,West,Karthik,Electronics,Laptop,19,310.39,5897.41,Wholesale,11,Low Revenue
ORD00241,2024-05-03,North,Priya,Clothing,Shoes,38,195.77,7439.26,Retail,5,Low Revenue
ORD00242,2024-04-03,East,Amit,Grocery,Rice,47,1531.55,71982.85,Retail,4,High Revenue
ORD00243,2024-10-04,South,Arjun,Electronics,Monitor,45,1846.53,83093.85,Retail,10,High Revenue
ORD00244,2025-02-01,West,Priya,Grocery,Oil,24,753.09,18074.16,Retail,2,Low Revenue
ORD00245,2024-05-09,West,Sneha,Grocery,Milk,22,32.0,704.0,Wholesale,5,Low Revenue
ORD00246,2025-09-23,South,Karthik,Grocery,Sugar,16,316.82,5069.12,Retail,9,Low Revenue
ORD00247,2025-10-24,North,Rahul,Furniture,Table,27,1981.48,53499.96,Retail,10,High Revenue
ORD00248,2025-01-04,South,Amit,Electronics,Laptop,19,338.17,6425.23,Retail,1,Low Revenue
ORD00249,2025-04-03,East,Meena,Clothing,Jeans,39,1350.87,52683.93,Wholesale,4,High Revenue
ORD00250,2025-11-26,North,Sneha,Grocery,Oil,15,178.61,2679.15,Retail,11,Low Revenue
ORD00251,2025-04-23,South,Rahul,Clothing,Shirt,3,654.23,1962.69,Wholesale,4,Low Revenue
ORD00252,2025-01-08,West,Sneha,Furniture,Cabinet,20,1419.8,28396.0,Wholesale,1,Low Revenue
ORD00253,2024-09-20,East,Arjun,Electronics,Laptop,36,373.27,13437.72,Retail,9,Low Revenue
ORD00254,2024-06-20,West,Karthik,Electronics,Laptop,42,825.28,34661.76,Retail,6,Medium Revenue
ORD00255,2025-12-10,East,Meena,Clothing,Jacket,19,560.6,10651.4,Wholesale,12,Low Revenue
